078bd800      92160 VOICE\CIVO35_3.BIN
078d4000     194560 VOICE\CIVO36_1.BIN
07903800     194560 VOICE\CIVO36_2.BIN
07933000     196608 VOICE\CIVO36_3.BIN
07963000     221184 VOICE\CIVO37_1.BIN
07999000     221184 VOICE\CIVO37_2.BIN
079cf000     231424 VOICE\CIVO37_3.BIN
07a07800     167936 VOICE\CIVO38_1.BIN
07a30800     215040 VOICE\CIVO38_2.BIN
07a65000     221184 VOICE\CIVO38_3.BIN
07a9b000     288768 5\ROU_BG.BIN
07ae1800     553952 5\500.BIN
07b69000     202656 5\501.BIN
07b9a800     187184 5\502.BIN
07bc8800     187584 5\503.BIN
07bf6800     138720 5\504.BIN
07c18800     126740 5\505.BIN
07c37800     186924 5\506.BIN
07c65800      74208 5\507.BIN
07c78000     188504 5\508.BIN
07ca6800     190736 5\509.BIN
07cd5800     192468 5\510.BIN
07d04800     128480 5\511.BIN
07d24000      64060 5\512.BIN
07d34000     128588 5\513.BIN
07d53800      64104 5\514.BIN
07d63800     288768 6\PNT_BG.BIN
07daa000     776908 6\600.BIN
07e68000     180368 6\601.BIN
07e94800     180472 6\602.BIN
07ec1000     180140 6\603.BIN
07eed000     180416 6\604.BIN
07f19800     180732 6\605.BIN
07f46000     182676 6\606.BIN
07f73000     179580 6\607.BIN
07f9f000     288768 7\CHA_BG.BIN
07fe5800    1018104 7\700.BIN
080de800     288768 8\REN_BG.BIN
08125000     908924 8\800.BIN
08203000     288768 9\KEY_BG.BIN
08249800    1208700 9\900.BIN
08371000     288768 10\SAV_BG.BIN
083b7800     884580 10\1000.BIN
0848f800     244216 10\1010.BIN
084cb800     270428 10\1020.BIN
0850e000     297752 10\1030.BIN
08557000     109560 10\1040.BIN
08572000     582016 11\1100.BIN
08600800     288768 12\RULE_01.BIN
08647000     288768 12\RULE_02.BIN
0868d800     288768 12\RULE_03.BIN
086d4000     613412 13\1300.BIN
0876a000     288768 14\LOAD_BG.BIN
087b0800     942500 14\1400.BIN
08897000      65536 VOICE\CIVO01_1.BIN
088a7000      92160 VOICE\CIVO01_2.BIN
088bd800      83968 VOICE\CIVO01_3.BIN
088d2000     102400 VOICE\CIVO02_1.BIN
088eb000      92160 VOICE\CIVO02_2.BIN
08901800      96256 VOICE\CIVO02_3.BIN
08919000      53248 VOICE\CIVO03_1.BIN
08926000      57344 VOICE\CIVO03_2.BIN
08934000      63488 VOICE\CIVO03_3.BIN
08943800      83968 VOICE\CIVO04_1.BIN
08958000     102400 VOICE\CIVO04_2.BIN
08971000      96256 VOICE\CIVO04_3.BIN
08988800     129024 VOICE\CIVO05_1.BIN
089a8000     133120 VOICE\CIVO05_2.BIN
089c8800     120832 VOICE\CIVO05_3.BIN
089e6000     176128 VOICE\CIVO05_4.BIN
08a11000     169984 VOICE\CIVO05_5.BIN
08a3a800     190464 VOICE\CIVO05_6.BIN
08a69000     167936 VOICE\CIVO06_1.BIN
08a92000     161792 VOICE\CIVO06_2.BIN
08ab9800     180224 VOICE\CIVO06_3.BIN
08ae5800      83968 VOICE\CIVO07_1.BIN
08afa000      61440 VOICE\CIVO07_2.BIN
08b09000      88064 VOICE\CIVO07_3.BIN
08b1e800      88064 VOICE\CIVO08_1.BIN
08b34000     102400 VOICE\CIVO08_2.BIN
08b4d000     122880 VOICE\CIVO08_3.BIN
08b6b000      40960 VOICE\CIVO09_1.BIN
08b75000      61440 VOICE\CIVO09_2.BIN
08b84000      59392 VOICE\CIVO09_3.BIN
08b92800      88064 VOICE\CIVO10_1.BIN
08ba8000     106496 VOICE\CIVO10_2.BIN
08bc2000     110592 VOICE\CIVO10_3.BIN
08bdd000      63488 VOICE\CIVO11_1.BIN
08bec800      61440 VOICE\CIVO11_2.BIN
08bfb800      65536 VOICE\CIVO11_3.BIN
08c0b800      94208 VOICE\CIVO12_1.BIN
08c22800      88064 VOICE\CIVO12_2.BIN
08c38000      83968 VOICE\CIVO12_3.BIN
08c4c800      98304 VOICE\CIVO12_4.BIN
08c64800     102400 VOICE\CIVO12_5.BIN
08c7d800      98304 VOICE\CIVO12_6.BIN
08c95800      96256 VOICE\CIVO13_1.BIN
08cad000     104448 VOICE\CIVO13_2.BIN
08cc6800      98304 VOICE\CIVO13_4.BIN
08cde800     102400 VOICE\CIVO13_5.BIN
08cf7800      96256 VOICE\CIVO13_6.BIN
08d0f000     110592 VOICE\CIVO48_1.BIN
08d2a000     153600 VOICE\CIVO48_2.BIN
08d4f800     131072 VOICE\CIVO48_3.BIN
08d6f800     133120 VOICE\CIVO49_1.BIN
08d90000     143360 VOICE\CIVO49_2.BIN
08db3000     135168 VOICE\CIVO49_3.BIN
08dd4000      79872 VOICE\CIVO50_1.BIN
08de7800      77824 VOICE\CIVO50_2.BIN
08dfa800      83968 VOICE\CIVO50_3.BIN
08e0f000     141312 VOICE\CIVO51_1.BIN
08e31800     137216 VOICE\CIVO51_2.BIN
08e53000     153600 VOICE\CIVO51_3.BIN
08e78800     167936 VOICE\CIVO52_1.BIN
08ea1800     186368 VOICE\CIVO52_2.BIN
08ecf000     176128 VOICE\CIVO52_3.BIN
08efa000      65536 VOICE\CIVO53_1.BIN
08f0a000      71680 VOICE\CIVO53_2.BIN
08f1b800      57344 VOICE\CIVO53_3.BIN
08f29800      81920 VOICE\CIVO54_1.BIN
08f3d800     100352 VOICE\CIVO54_2.BIN
08f56000      75776 VOICE\CIVO54_3.BIN
08f68800      75776 VOICE\CIVO55_1.BIN
08f7b000      79872 VOICE\CIVO55_2.BIN
08f8e800      65536 VOICE\CIVO55_3.BIN
08f9e800      55296 VOICE\CIVO56_1.BIN
08fac000      81920 VOICE\CIVO56_2.BIN
08fc0000      51200 VOICE\CIVO56_3.BIN
08fcc800      49152 VOICE\CIVO57_1.BIN
08fd8800      69632 VOICE\CIVO57_2.BIN
08fe9800      55296 VOICE\CIVO57_3.BIN
08ff7000     442368 VOICE\CIVO58.BIN
09063000     436224 VOICE\CIVO59.BIN
090cd800     425984 VOICE\CIVO60.BIN
09135800     425984 VOICE\CIVO61.BIN
0919d800     448512 VOICE\CIVO62.BIN
0920b000    3012608 VOICE\CIVO63.BIN
094ea800    2088960 VOICE\CIVO64.BIN
096e8800    2342912 VOICE\CIVO65.BIN
09924800     235520 VOICE\CIVO66_1.BIN
0995e000     249856 VOICE\CIVO66_2.BIN
0999b000     249856 VOICE\CIVO66_3.BIN
099d8000      57344 VOICE\CIVO67_1.BIN
099e6000      53248 VOICE\CIVO67_2.BIN
099f3000      57344 VOICE\CIVO67_3.BIN
09a01000     135168 VOICE\CIVO68.BIN
09a22000   81608708 OPENING.PSS
0e7f6800   21413892 KANSYOU_GAMEN.PSS
0fc63000   70205444 HIKARI.PSS
13f57800   82345988 HOMURA.PSS
18de0000   82755588 KAORI.PSS
1dccc800   81788932 KASUMI.PSS
22acd000   84738052 MEI.PSS
27b9d800   71499780 STUFF.PSS
